,name,party,state,bill,result
358,McCain,R,AZ,4,1.0
359,McCaskill,D,MO,4,1.0
360,McConnell,R,KY,4,1.0
361,Menendez,D,NJ,4,1.0
362,Merkley,D,OR,4,1.0
363,Mikulski,D,MD,4,1.0
364,Moran,R,KS,4,1.0
365,Murkowski,R,AK,4,1.0
366,Murphy,D,CT,4,1.0
367,Murray,D,WA,4,1.0
368,Nelson,D,FL,4,1.0
369,Paul,R,KY,4,0.0
370,Perdue,R,GA,4,1.0
371,Peters,D,MI,4,1.0
372,Portman,R,OH,4,1.0
373,Reed,D,RI,4,1.0
374,Reid,D,NV,4,0.5
375,Risch,R,ID,4,1.0
376,Roberts,R,KS,4,1.0
377,Rounds,R,SD,4,1.0
378,Rubio,R,FL,4,1.0
379,Sanders,I,VT,4,1.0
380,Sasse,R,NE,4,0.0
381,Schatz,D,HI,4,1.0
382,Schumer,D,NY,4,1.0
383,Scott,R,SC,4,1.0
384,Sessions,R,AL,4,1.0
385,Shaheen,D,NH,4,1.0
386,Shelby,R,AL,4,1.0
387,Stabenow,D,MI,4,1.0
388,Sullivan,R,AK,4,1.0
389,Tester,D,MT,4,1.0
390,Thune,R,SD,4,1.0
391,Tillis,R,NC,4,1.0
392,Toomey,R,PA,4,1.0
393,Udall,D,NM,4,1.0
394,Vitter,R,LA,4,1.0
395,Warner,D,VA,4,1.0
396,Warren,D,MA,4,1.0
397,Whitehouse,D,RI,4,1.0
398,Wicker,R,MS,4,1.0
399,Wyden,D,OR,4,1.0
400,Alexander,R,TN,5,1.0
401,Ayotte,R,NH,5,1.0
402,Baldwin,D,WI,5,0.0
403,Barrasso,R,WY,5,1.0
404,Bennet,D,CO,5,0.0
405,Blumenthal,D,CT,5,0.0
406,Blunt,R,MO,5,1.0
407,Booker,D,NJ,5,0.0
408,Boozman,R,AR,5,1.0
409,Boxer,D,CA,5,0.0
410,Brown,D,OH,5,0.0
411,Burr,R,NC,5,1.0
412,Cantwell,D,WA,5,0.0
413,Capito,R,WV,5,1.0
414,Cardin,D,MD,5,0.0
415,Carper,D,DE,5,0.0
416,Casey,D,PA,5,0.0
417,Cassidy,R,LA,5,1.0
418,Coats,R,IN,5,1.0
419,Cochran,R,MS,5,1.0
420,Collins,R,ME,5,1.0
421,Coons,D,DE,5,0.0
422,Corker,R,TN,5,1.0
423,Cornyn,R,TX,5,1.0
424,Cotton,R,AR,5,1.0
425,Crapo,R,ID,5,1.0
426,Cruz,R,TX,5,1.0
427,Daines,R,MT,5,1.0
428,Donnelly,D,IN,5,0.0
429,Durbin,D,IL,5,0.0
430,Enzi,R,WY,5,1.0
431,Ernst,R,IA,5,1.0
432,Feinstein,D,CA,5,0.0
433,Fischer,R,NE,5,1.0
434,Flake,R,AZ,5,1.0
435,Franken,D,MN,5,0.0
436,Gardner,R,CO,5,1.0
437,Gillibrand,D,NY,5,0.0
438,Graham,R,SC,5,1.0
439,Grassley,R,IA,5,1.0
440,Hatch,R,UT,5,1.0
441,Heinrich,D,NM,5,0.0
442,Heitkamp,D,ND,5,0.0
443,Heller,R,NV,5,1.0
444,Hirono,D,HI,5,0.0
445,Hoeven,R,ND,5,1.0
446,Inhofe,R,OK,5,1.0
447,Isakson,R,GA,5,1.0
448,Johnson,R,WI,5,1.0
449,Kaine,D,VA,5,0.0
450,King,I,ME,5,0.0
451,Kirk,R,IL,5,1.0
452,Klobuchar,D,MN,5,0.0
453,Lankford,R,OK,5,1.0
454,Leahy,D,VT,5,0.0
455,Lee,R,UT,5,1.0
456,Manchin,D,WV,5,0.0
457,Markey,D,MA,5,0.0
458,McCain,R,AZ,5,1.0
459,McCaskill,D,MO,5,0.0
460,McConnell,R,KY,5,1.0
461,Menendez,D,NJ,5,0.0
462,Merkley,D,OR,5,0.0
463,Mikulski,D,MD,5,0.0
464,Moran,R,KS,5,1.0
465,Murkowski,R,AK,5,1.0
466,Murphy,D,CT,5,0.0
467,Murray,D,WA,5,0.0
468,Nelson,D,FL,5,0.0
469,Paul,R,KY,5,1.0
470,Perdue,R,GA,5,1.0
471,Peters,D,MI,5,0.0
472,Portman,R,OH,5,1.0
473,Reed,D,RI,5,0.0
474,Reid,D,NV,5,0.5
475,Risch,R,ID,5,1.0
476,Roberts,R,KS,5,1.0
477,Rounds,R,SD,5,1.0
478,Rubio,R,FL,5,1.0
479,Sanders,I,VT,5,0.0
480,Sasse,R,NE,5,1.0
481,Schatz,D,HI,5,0.0
482,Schumer,D,NY,5,0.0
483,Scott,R,SC,5,1.0
